""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000145423	-1.5488167582752	5.50796314121599	-2.64566230927462	0.00415708854870768	1
ENSG00000174145	1.64100357874715	0.891910160266533	2.39856689264401	0.00834441283416922	1
ENSG00000244694	-1.26751898356528	-0.767589119338518	-2.23147359708071	0.0129639050234766	1
ENSG00000230058	1.41942861548068	-0.915245625304918	2.12882790390764	0.0167876517138374	1
ENSG00000169006	1.46643167386766	-3.51780383141573	2.03667596159899	0.0210066829574926	1
ENSG00000173452	-1.49862915626692	-4.27289335082042	-1.99918886233673	0.0229639302467193	1
ENSG00000130513	-1.3375812853197	2.95706055854826	-1.85267003310337	0.0321500385460427	1
ENSG00000244681	-1.34624505477507	-3.95733281233463	-1.82795425914231	0.0339655113552949	1
ENSG00000254814	1.35555442634318	-3.98009273856017	1.79822527627857	0.0362602792395379	1
ENSG00000147647	-1.56886342563711	-0.375389389796025	-1.74496821103031	0.0406883824527396	1
ENSG00000261742	-1.33471276650905	-4.1839114046135	-1.71157891584019	0.0436821514699707	1
ENSG00000143125	1.42263401437787	-1.39599691457656	1.64451435216376	0.0502326535811686	1
ENSG00000112319	-1.1401377443228	0.599019634602107	-1.58106443216515	0.0571305119680076	1
ENSG00000169710	1.27777053226881	10.1197633281699	1.57609911141388	0.0577003803129187	1
ENSG00000264590	-1.26675193989035	-4.64011361541788	-1.43084158435789	0.0764342687257571	1
ENSG00000111537	-1.33074717515392	-3.91187319612012	-1.38178837091384	0.083712410691607	1
ENSG00000163564	-1.1347913430635	1.27096073768584	-1.36465667420942	0.0863735386284213	1
ENSG00000147889	-1.14008104487513	-0.354702185628387	-1.3130850588587	0.0947665695847727	1
ENSG00000253125	1.24443488066217	-2.95427222077973	1.22134214827395	0.111159269149726	1
ENSG00000210194	1.21196169824218	-1.58482109198801	1.20994387748446	0.113330023347709	1
ENSG00000100344	1.2223512204381	1.14647855848249	1.19769468014798	0.115696421084786	1
ENSG00000169245	-1.32051833587818	-0.789215058434388	-1.19562535067955	0.116099637602642	1
ENSG00000244155	1.24916232414298	-4.90459087726434	1.18581739881959	0.118024345037136	1
ENSG00000181092	1.19226722399366	8.69198749925585	1.13603323413697	0.128142486622608	1
ENSG00000254826	1.25009695587857	-4.02980618967123	1.13457390699221	0.128447920279636	1
ENSG00000216921	1.24043055460995	-2.03240809670117	1.11884102797199	0.131772941925699	1
ENSG00000131203	-1.30542081516969	0.0781616568873113	-1.08702514309216	0.138677568163672	1
ENSG00000147138	-1.18167046824279	-2.13004576913165	-1.0460669326328	0.147924025665122	1
ENSG00000141150	1.16588773555965	3.98902637496901	0.967523309449079	0.16678835597542	1
ENSG00000243961	1.20085804288591	0.306385619393995	0.945419817455003	0.172365908033792	1
ENSG00000165566	1.26425901447245	-2.64190072854556	0.939203667136822	0.173955713342431	1
ENSG00000004846	-1.17006735032185	0.990618925092666	-0.931746708259958	0.175875142992024	1
ENSG00000128710	-1.14810238951529	0.0481938128229203	-0.875778172693572	0.190707573196706	1
ENSG00000264940	-1.26388979163546	-4.11045121894139	-0.832676072327618	0.202638747072413	1
ENSG00000140505	1.16602331532873	-4.49274871032954	0.830850890331034	0.203153651979973	1
ENSG00000166923	-1.24234738764132	3.19402986986922	-0.828655516731838	0.203774027800333	1
ENSG00000259760	-1.13906556253091	-4.74996290445456	-0.800102845619491	0.211945104823686	1
ENSG00000054803	-1.25781246972252	-2.68643395753454	-0.799334043864051	0.212167739426098	1
