""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000109158	-1.84791121864508	1.32001368270264	-3.48094887125021	0.000261676866751391	1
ENSG00000260918	-1.64400686669276	-0.951369915109684	-3.4217652976185	0.000324914974548485	1
ENSG00000211896	-1.99600351955521	3.52596547540344	-3.36669711991001	0.000396282220159519	1
ENSG00000185008	-1.52436704323355	1.59040462172303	-3.12214250742891	0.000926017761656782	1
ENSG00000164265	-1.70986085912421	-0.965652620691315	-3.10199748872149	0.00099069567078361	1
ENSG00000211677	-1.84052769241237	-1.27488649372954	-3.05597005940424	0.00115434996855337	1
ENSG00000267193	-1.50941399641912	-3.2064540016099	-3.02220773551489	0.00128977865885802	1
ENSG00000163288	-1.59083528560268	-2.19903911473072	-2.98796516472602	0.00144186083850265	1
ENSG00000211637	-1.74922349826323	-4.31386871476588	-2.77146784552584	0.00284704521995814	1
ENSG00000211897	-1.79516655207019	1.17861403883113	-2.69186786747548	0.00361778445057587	1
ENSG00000211892	-1.80496840144509	-1.41180082606909	-2.68933540871705	0.00364512611160064	1
ENSG00000132465	-1.64104412741512	0.880507829994673	-2.67166175553032	0.00384116686453515	1
ENSG00000253755	-1.71713632659271	-1.93782031373021	-2.64599061061791	0.00414278817517087	1
ENSG00000004846	-1.58909449394421	-3.53045145228001	-2.58386657094223	0.00496229520044195	1
ENSG00000231475	-1.69610598485868	-3.62165431349283	-2.57841800665113	0.00504064859991428	1
ENSG00000181656	-1.41797232793334	-0.257566166301875	-2.53102975806449	0.00577002019503951	1
ENSG00000060718	-1.43548381898324	-0.144013734360035	-2.50723733242526	0.00617045256393014	1
ENSG00000211893	-1.70954826330935	1.14978545470172	-2.44432472718562	0.00735047623866404	1
ENSG00000250337	-1.38050408225875	-2.61466875146254	-2.43151241292885	0.00761387199618495	1
ENSG00000211685	-1.59547808217335	-4.15917063852699	-2.39538700653617	0.00840188252248783	1
ENSG00000211679	-1.62744516093662	-0.529463104522595	-2.32393069781599	0.0101741620105015	1
ENSG00000171509	-1.52723878634888	-1.44714854338488	-2.31710904313515	0.0103593227677705	1
ENSG00000241351	-1.67376956443513	-1.59154951831451	-2.29009975221644	0.0111216294196326	1
ENSG00000244734	-1.56665497153965	5.47235279190316	-2.26879881195297	0.0117568443450921	1
ENSG00000206172	-1.57196284870566	-0.526925072100553	-2.26676694582776	0.0118190529334569	1
ENSG00000211895	-1.61117314018743	3.32760250155217	-2.24009944447992	0.0126624153856882	1
ENSG00000211653	-1.72406051528629	-1.82416040362439	-2.23605611859594	0.012794736792368	1
ENSG00000239951	-1.62722905249364	-0.301199412976258	-2.18371554045101	0.0146187675223631	1
ENSG00000211666	-1.64915437744089	-0.903901012211007	-2.16553791192561	0.015302666607259	1
ENSG00000211594	-1.58676395537512	-1.71425294888346	-2.1487406355328	0.0159589221799863	1
ENSG00000163564	-1.30676110638424	-0.765412820713057	-2.13021045045583	0.0167107746387279	1
ENSG00000211955	-1.58187504721337	-3.04008149583702	-2.10399699158907	0.0178260877877013	1
ENSG00000241755	-1.59668793536034	-3.4810130208321	-2.08317541749512	0.0187567493865966	1
ENSG00000185633	-1.25120103260105	6.92386256756411	-2.08131223900282	0.0188420110316787	1
ENSG00000106536	-1.33730242288054	-0.793915189252118	-2.03184720463151	0.0212293938834737	1
ENSG00000170476	-1.47602404034447	-2.51371533043724	-2.03136807653346	0.0212537173188335	1
ENSG00000082482	-1.39311146420675	0.209246451163929	-2.02308731354084	0.0216778430613149	1
ENSG00000211671	-1.60131215231302	-2.43562880117197	-2.01012667038506	0.0223560323473971	1
ENSG00000242371	-1.55406514689786	-2.85398154960778	-2.00046614385831	0.0228731223792575	1
ENSG00000211651	-1.6041983317755	-2.7666092472553	-1.99338957370889	0.0232582767217825	1
ENSG00000104435	-1.40393252772227	-1.78737236203214	-1.97088403456246	0.0245197098362893	1
ENSG00000244694	-1.1858282960435	0.136151304583708	-1.94850546522399	0.0258305656836945	1
ENSG00000211673	-1.59764832509414	-2.69805191275063	-1.94696550237191	0.0259228915531488	1
ENSG00000211648	-1.59384661480957	-3.09335204275358	-1.93076276680356	0.0269111688656348	1
ENSG00000211940	-1.58748692713453	-3.32942381555972	-1.92778563751607	0.0270961411025848	1
