""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000256128	-2.15974176516519	-0.970599569558528	-3.56875396806697	0.000195477021020675	1
ENSG00000163631	-3.11317976251578	2.16163298002205	-3.51896789881178	0.000235074390807388	1
ENSG00000169429	-3.09992115313827	3.7945353323656	-3.33193006503226	0.000461045151086232	1
ENSG00000110245	-2.70393595051045	-1.53672131175502	-3.16333080040154	0.000824187850546443	1
ENSG00000091583	-2.57705047587518	-2.07597402497354	-2.98773841291861	0.00146977203406297	1
ENSG00000128342	-2.38259070198266	1.67602165411238	-2.88733161718504	0.00202124012618314	1
ENSG00000118271	-2.32509461358109	-1.76535582843628	-2.79661396167602	0.00267501710362732	1
ENSG00000111537	-2.30720361760677	-0.366757098296238	-2.60498521469772	0.0047218012979246	1
ENSG00000189238	-1.75889139884726	-1.98612962959413	-2.53896803781495	0.00570016214943327	1
ENSG00000172482	-2.17254272355779	-2.55225152351424	-2.50386999120853	0.00629057868870459	1
ENSG00000073754	-2.17983386120649	-2.45683793835507	-2.4967093188656	0.00641749907775267	1
ENSG00000100450	-2.56725381465222	3.40101999265067	-2.48938083382053	0.00654975354539717	1
ENSG00000140287	-2.2083337673803	-0.693433887727706	-2.45266643686951	0.00724929697688477	1
ENSG00000177606	-1.90263014403072	6.05698116501282	-2.41145051974186	0.00811262964390827	1
ENSG00000180739	-2.62088158688934	2.95430794548136	-2.34960866111329	0.00957807760311177	1
ENSG00000135094	-2.03138239144123	-0.3721025528007	-2.343827959612	0.0097261277248173	1
ENSG00000100453	-2.49434139313594	4.498355337281	-2.31488351772028	0.0104986155140035	1
ENSG00000113905	-2.2142472453928	-2.60380869170274	-2.30812726146012	0.0106864088323014	1
ENSG00000171564	-2.11129429935558	-1.58585790005448	-2.25096698076509	0.0123965185747982	1
ENSG00000106927	-2.01481367690857	-1.5235718943559	-2.24679448031351	0.0125301801246593	1
ENSG00000007350	-2.25233768537832	1.7369774785809	-2.23571814610302	0.0128910905993598	1
ENSG00000143878	-1.85796956454147	7.15584388301855	-2.21208786203804	0.0136912838705193	1
ENSG00000229757	-1.81390635607549	-3.80663048915729	-2.17937981194003	0.014869586966263	1
ENSG00000186652	-1.98067859735198	3.04769819876151	-2.17754715273185	0.0149381200944064	1
ENSG00000171560	-2.05994540187289	-1.13811683674129	-2.1578366332308	0.0156925831386057	1
ENSG00000135245	-2.08942044514719	5.15773965076478	-2.1527727073285	0.0158916289834881	1
ENSG00000172232	-2.51605532483618	2.97259713888438	-2.13636098735378	0.016552189460204	1
ENSG00000233392	-2.22256063184668	-1.05200651883871	-2.12777124376355	0.0169064821558871	1
ENSG00000147872	-1.72046056789464	8.10653298854767	-2.12188869907702	0.0171531640619891	1
ENSG00000170099	-1.76146139845698	-3.86439841151249	-2.10517009084162	0.0178712051749407	1
ENSG00000228314	-1.8910577145667	-0.208215059963052	-2.08756537418441	0.0186549388753026	1
ENSG00000171557	-2.02573760888487	-1.29123212183297	-2.07512346451204	0.0192263666781264	1
ENSG00000181036	-2.42929342942242	1.74330671122174	-2.04606427182351	0.0206199594063868	1
ENSG00000005381	-2.49634933170984	3.88466464967294	-2.03328994143456	0.0212596137740051	1
ENSG00000133067	-2.06056480947988	1.73339957138336	-2.02501779923048	0.021680976453939	1
ENSG00000249138	-2.21828626834226	0.6989639660837	-2.01882813193047	0.0220019389850222	1
ENSG00000243955	-1.83635296584609	-2.59629131724523	-2.01270081854982	0.0223234818214425	1
ENSG00000163508	-1.95945095617475	2.83787892755639	-2.00637283001927	0.0226597953717749	1
ENSG00000187758	-1.95241002932479	-3.6627040822788	-1.99053121670247	0.0235205552459784	1
ENSG00000244067	-1.7998910281635	-4.05455282804007	-1.98802018207514	0.0236594935964774	1
ENSG00000136872	-1.81387654764217	0.0987447943604288	-1.98170065744808	0.0240122274324087	1
ENSG00000156575	-2.35497637969628	-1.27480634618267	-1.97640305521495	0.0243119818525645	1
ENSG00000197353	-1.9129667372273	-2.61322967735572	-1.9589227313353	0.0253205941030221	1
ENSG00000145192	-1.87468095199882	-2.89955582836792	-1.95809777456068	0.025369081821682	1
