""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000244681	-1.91063005164906	-3.82421035697127	-3.30036921050624	0.000543675578883478	1
ENSG00000206172	-1.9612626707672	-0.359740921830727	-3.22387819445154	0.000705184145369994	1
ENSG00000244734	-1.88827649683715	5.60490695795945	-2.91269796553166	0.00193214137910954	1
ENSG00000188536	-1.86078804431983	3.5059718309699	-2.85901915211528	0.00228028748219091	1
ENSG00000223609	-2.33590048008607	-1.59599150887508	-2.73754388521016	0.00328799255102948	1
ENSG00000169877	-1.66987606100115	-4.86114355892799	-2.45623001952497	0.00731594304820289	1
ENSG00000205502	-1.89100005943294	2.01412820253703	-2.43377134390287	0.00777587497762176	1
ENSG00000158578	-1.65899394333736	-1.98679281522666	-2.28260761208005	0.0115919510201409	1
ENSG00000223039	-1.63041098660667	-4.37313186052446	-2.26898437982745	0.0120052856542423	1
ENSG00000133742	-1.63629012151347	-2.86485850708204	-2.16292691623297	0.0156856143044086	1
ENSG00000004939	-1.63552612342064	-3.75209204413843	-2.13934325902886	0.0166251013075557	1
ENSG00000059804	-1.46175245303032	6.90754069280201	-1.96910030864738	0.0249509999644155	1
ENSG00000125740	-1.61019857657147	4.56330209569621	-1.83236056150415	0.0339661310968695	1
ENSG00000130513	-1.51434756495957	2.72417036773004	-1.80187441459914	0.0363064665217606	1
ENSG00000264590	-1.41870607554776	-4.85087048496229	-1.40680547866726	0.0802827198835852	1
ENSG00000170345	-1.32080903780187	8.00911796144163	-1.40078686023195	0.0811782629521308	1
ENSG00000270640	-1.32275098299799	-1.03964630268679	-1.33914461429412	0.0907908344286374	1
ENSG00000237070	-1.32894815222535	0.210418606835603	-1.33522059036222	0.091430346149976	1
ENSG00000162772	-1.35470827617495	6.0881518851334	-1.33270433659378	0.0918421912371168	1
ENSG00000138650	-1.30765794565629	-1.33448333909559	-1.31142225147802	0.0953808967242224	1
ENSG00000225745	-1.29139092347089	-4.23728184650265	-1.21447232647352	0.112782135226103	1
ENSG00000265489	-1.27465381192602	-3.65983796728956	-1.08027856222224	0.140461896934843	1
ENSG00000169429	-1.30582176754535	0.277196106114084	-1.04362837490174	0.148767168919438	1
ENSG00000225572	-1.27572099484686	-3.41067046200421	-1.02789071127832	0.152432747324629	1
ENSG00000262202	-1.24329999365963	-4.05924130918055	-0.875759692457269	0.190945991590063	1
ENSG00000185559	1.39601415969345	0.940736902084967	0.858451293028451	0.195679517712559	1
ENSG00000260661	-1.2143419457677	-4.1772161558344	-0.838487945697893	0.201226747892208	1
ENSG00000054803	-1.39658161998107	-0.715200226919264	-0.829087991668444	0.203871786655039	1
ENSG00000169248	-1.29202239409859	-3.27340867143322	-0.819490468866809	0.206592828346361	1
ENSG00000258788	-1.20463172625852	-3.54374908117288	-0.783565736553713	0.216970090558462	1
ENSG00000184557	-1.19955786938007	6.6041818882984	-0.781731737015886	0.217507864298101	1
ENSG00000203837	-1.26452603371268	-2.14112166441095	-0.743579198675311	0.228869248204126	1
ENSG00000056291	-1.26203421907124	-3.28635100154389	-0.743293288296961	0.228955634150143	1
ENSG00000120659	1.27334759689989	-4.73908122156984	0.740307577365823	0.229858847202203	1
ENSG00000206177	-1.20230654073778	-4.89362126242861	-0.737465990456456	0.230720318068624	1
ENSG00000236047	-1.17807822083641	-2.20291225503659	-0.733269212431221	0.231995947651804	1
ENSG00000040731	-1.20462295955355	-4.77080828404989	-0.730454359342978	0.232853741952883	1
ENSG00000164458	-1.19149690405386	-5.73961088402843	-0.720823386963799	0.23580202753903	1
ENSG00000159167	-1.15990737684907	4.98577420183341	-0.673500593483937	0.250585045587833	1
ENSG00000253406	-1.17612860620855	-1.23661946202569	-0.670480792401374	0.251544864058307	1
ENSG00000262074	-1.19089763380031	-4.18167947171825	-0.658766813558514	0.25528645413423	1
ENSG00000230470	-1.21127082713785	-3.99662432252235	-0.648034836298397	0.25873987968002	1
ENSG00000255084	-1.18058163743313	-4.66865720312574	-0.645046608659334	0.259705764752119	1
ENSG00000177606	-1.13327184937322	8.88866599169784	-0.638820625842464	0.261724182363209	1
ENSG00000133874	-1.11183009876045	3.87773078189531	-0.619173582791744	0.268146238730758	1
ENSG00000166923	-1.19312767856487	2.97931255363086	-0.612731201608697	0.270269292799898	1
ENSG00000128016	-1.11510551715964	9.03495240839259	-0.610517807049383	0.271000650834236	1
ENSG00000105825	-1.14168060642337	2.39220765536057	-0.571761917147275	0.283965077705533	1
ENSG00000225300	-1.14563534315296	-4.11538734794993	-0.568402983217254	0.285102591191377	1
ENSG00000239839	-1.20522193577102	-3.3334133461167	-0.563088475025382	0.286906815957178	1
ENSG00000265179	-1.18001745105273	-2.19593485545226	-0.561768346118187	0.287355826095341	1
ENSG00000264940	-1.25725434418597	-3.64002573159009	-0.554523910655956	0.289826730268522	1
ENSG00000237892	-1.12127234551354	-1.6904830053608	-0.551812410701309	0.290752832073594	1
ENSG00000145808	1.18617996976084	-3.07814880882345	0.539166053578379	0.29509483880075	1
ENSG00000163485	1.13582356188625	2.33753311569319	0.538440946207349	0.295344704453823	1
ENSG00000186188	1.20035771335255	0.271413276065745	0.52170607992155	0.301138403241567	1
ENSG00000264229	-1.11563096783019	-4.45792505453061	-0.520493398369658	0.301560219705373	1
ENSG00000130829	1.1670667702943	-2.69603560078645	0.510060236203704	0.30520036011838	1
