""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000188536	-2.46743913239276	2.08756583578224	-5.82375533023083	3.85481603539418e-09	0.000100699359292602
ENSG00000206172	-2.4242350192525	-1.66350237226444	-5.6983355868975	7.91683179868206e-09	0.000103405698538486
ENSG00000223609	-2.79687442253031	-3.20199322483497	-5.54589901813729	1.86342204096765e-08	0.00016226057992066
ENSG00000244734	-2.37152434945064	4.07548749559031	-5.40516225385571	4.03279543168962e-08	0.00026337178765507
ENSG00000270640	-1.92302143636437	-1.30157799722922	-4.7397981705323	1.22168694973152e-06	0.00638282563756729
ENSG00000260799	-1.79053492802823	-3.46249026286385	-4.53404471947411	3.23689362486702e-06	0.0140928953604002
ENSG00000158578	-1.7377345105712	-3.040310640457	-3.86759520584272	5.84461922844369e-05	0.218112840149478
ENSG00000112319	-1.44837480462325	0.137516134206389	-3.40769506834408	0.000340393027344877	1
ENSG00000236047	-1.55481628007089	-3.26700833763857	-3.2453709341461	0.000605601921812589	1
ENSG00000004939	-1.53728283403419	-4.60340988757478	-3.19049205393006	0.000731870188602173	1
ENSG00000220884	-1.46684679063671	-4.22543338156699	-2.71848079817601	0.00333486050027691	1
ENSG00000210194	1.47587295428803	-1.36083848520249	2.4579033638674	0.00707041680993521	1
ENSG00000004846	-1.40741239956611	-3.50017453197096	-2.42737694870357	0.00769052634970212	1
ENSG00000258469	-1.42351485694895	-1.33604031318045	-2.2344568294412	0.0128347254061645	1
ENSG00000254982	-1.37234049250831	-4.27121726710583	-2.15581936067477	0.0156657802553616	1
ENSG00000244681	-1.31629148616015	-4.50659977705166	-2.13228611147427	0.0166110859776677	1
ENSG00000227560	-1.36878531035846	-4.18363435608326	-2.10764869039293	0.0176527117903012	1
ENSG00000260816	-1.29448647441129	-4.44369950812548	-1.95003673008333	0.0257229833650755	1
ENSG00000242142	-1.31288528170444	-3.34640128712682	-1.9079916736036	0.0283367110351464	1
ENSG00000227253	-1.28161575954071	-2.79473290218312	-1.87362085629592	0.0306345169126382	1
ENSG00000206177	-1.29497472289231	-5.42658643872486	-1.83715143556923	0.033239462784271	1
ENSG00000214093	-1.29596305428834	-3.90476500414883	-1.79876699608894	0.0361758422683453	1
ENSG00000169877	-1.25092374146091	-5.59465621741492	-1.70824231666018	0.0439481318029094	1
ENSG00000258384	-1.21978289339813	-1.76470695682769	-1.62696307661577	0.0520272129482133	1
ENSG00000237070	-1.30549759107156	-2.51650521768036	-1.57595909377004	0.0576729726416131	1
ENSG00000244694	-1.20011218268147	-1.6765970933323	-1.50148702150605	0.0667698806243147	1
ENSG00000229808	-1.17677197477336	-1.99632882071318	-1.49789494975464	0.0672352825509916	1
ENSG00000249212	-1.22963011094841	-3.85860170990486	-1.455378384047	0.0729364260680033	1
ENSG00000269929	1.23334382177224	-3.90028977430014	1.40652267136292	0.0799370922144639	1
ENSG00000263503	-1.33146311733895	-3.81541763412932	-1.34240566471471	0.089881898703778	1
ENSG00000271840	-1.16234168101295	-2.31878226599566	-1.17581930533805	0.119971007885733	1
ENSG00000234584	-1.17714162354571	-3.76135659296529	-1.16275890860061	0.122599925089467	1
ENSG00000254272	-1.15976497883934	-3.8238615016992	-1.13977909589916	0.12732323354867	1
ENSG00000233478	-1.1593919943395	-3.66882039697682	-1.11735176915208	0.132053798775315	1
ENSG00000206195	-1.13709794210514	-2.19659009917347	-1.11152890672867	0.13330160675246	1
ENSG00000267703	-1.16453212379242	-5.46604405948183	-1.08468083128487	0.139159933226927	1
ENSG00000162747	-1.16828772262134	-1.4120758670059	-1.00548232111413	0.157451804219515	1
ENSG00000225210	-1.12787596178291	-2.32383376537379	-0.985332401673818	0.162347481525387	1
ENSG00000262870	-1.13656475111616	-5.09933398093157	-0.948796835874337	0.171474573085791	1
ENSG00000243004	-1.13345438433819	-2.33328673872207	-0.910139742402028	0.181482136731685	1
ENSG00000243175	-1.13532678518135	-2.50160243721429	-0.88294264392245	0.188737863401305	1
ENSG00000188996	-1.11957838422398	-2.38741802216752	-0.862715787998316	0.194248477352454	1
ENSG00000091138	1.25368450217632	-1.54962037930429	0.806477632040337	0.210077937589845	1
ENSG00000262905	-1.12643488294278	-3.34500669598485	-0.787873852271098	0.215476960064956	1
ENSG00000228513	-1.12301898622108	-4.28626332128331	-0.777866361309487	0.218414277202594	1
ENSG00000269967	-1.11081275249958	-3.7661987793358	-0.772405176470498	0.220026892066483	1
ENSG00000268707	-1.10341546152639	-2.71392474018956	-0.72722914917386	0.233626404557132	1
ENSG00000259710	-1.10029798269749	-5.38065388849461	-0.70885149968392	0.239289470401907	1
ENSG00000215417	1.08996034668873	-0.722324127154757	0.676954010686032	0.249294469389486	1
ENSG00000228677	-1.10224999428651	-4.71150912430566	-0.675043516399956	0.249900707455526	1
ENSG00000270000	-1.09456103603798	-3.38318210955159	-0.673718987501004	0.250321466513996	1
ENSG00000272428	-1.08482668768898	-5.59489132448061	-0.646596554455437	0.259019424150509	1
ENSG00000136244	-1.1164650587343	0.936796160985205	-0.640972154625576	0.260842525035109	1
ENSG00000272349	-1.08812487554075	-3.74092519006666	-0.61887383187671	0.268068972987766	1
ENSG00000253290	-1.08272088282194	-5.68209383597326	-0.606765097463342	0.272071057889175	1
ENSG00000197301	-1.06927326079891	-1.90004894025417	-0.551824598375228	0.290594826752897	1
ENSG00000259392	-1.07783550185185	-4.76180937011636	-0.532933711515315	0.297097895671215	1
ENSG00000236682	-1.10943937287007	-2.63105049720444	-0.517224829027738	0.302555794455957	1
ENSG00000007306	1.24903436962938	-0.359933246589921	0.491474978987415	0.311603271608791	1
ENSG00000266954	-1.06680025297119	-3.90594508102189	-0.449595202885392	0.326549031673663	1
ENSG00000267361	-1.06777427271476	-0.879270086728667	-0.441076023751991	0.329625812251134	1
ENSG00000233469	-1.05742061381201	-2.65841550828392	-0.423271098280415	0.336093444580621	1
ENSG00000243238	1.12224258544263	-3.32586732596306	0.404486913070254	0.342969836912345	1
ENSG00000241112	-1.05977262727117	-3.22270140643013	-0.384925711488281	0.350186433128819	1
ENSG00000264940	-1.09935774199952	-4.89356142803885	-0.3726742576961	0.354734239420922	1
ENSG00000269356	-1.05666389431107	-4.31882164758669	-0.358565168526547	0.359997379046994	1
ENSG00000262539	-1.09420454964256	-3.27235704323	-0.351577155379782	0.362614080608	1
ENSG00000211943	1.1021948588174	-2.84240522748639	0.339048263022902	0.367321651134476	1
ENSG00000162761	-1.05353825918435	-1.73216406241317	-0.325962141186307	0.372259997984792	1
ENSG00000238246	-1.04430827434857	-4.37374909467013	-0.318380427540514	0.37513084601515	1
ENSG00000179428	-1.05097074742275	-3.39123849186278	-0.317505278007775	0.37546267496878	1
ENSG00000210144	1.05351782826845	-2.44224090114093	0.312153371000432	0.377493948025487	1
ENSG00000226957	-1.04772750619317	-4.74541802481233	-0.310400653161922	0.378159919402064	1
ENSG00000271811	-1.04944378021585	-2.68929103873121	-0.305232994098386	0.380125553171233	1
ENSG00000243715	-1.05095835138355	-4.07566486463193	-0.298392166557091	0.382732382549625	1
ENSG00000270269	-1.0434412576799	-3.58667825540948	-0.289512972500604	0.386123905251988	1
ENSG00000251596	-1.04103375017842	-3.02488791504881	-0.277105982006418	0.390877494947151	1
ENSG00000177688	-1.03863598920214	-3.08230190698347	-0.259787855877705	0.397539976205648	1
ENSG00000130513	-1.02934410257388	0.91074662091547	-0.255544880301389	0.399176955208884	1
ENSG00000237928	-1.04142929755792	-3.21524673429974	-0.255321351979645	0.399263244021157	1
ENSG00000236841	-1.02935539080639	-2.51161595868809	-0.195859461968382	0.422379628964063	1
