""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000174473	-2.35960450347704	-1.63207722009615	-6.36126737472003	2.0714622121364e-10	4.7334983009529e-06
ENSG00000105877	-1.8535908037046	0.29982353037451	-4.40351086224095	6.37399590492825e-06	0.0728260902117577
ENSG00000131080	-1.73409749533214	1.52343113196985	-4.24452155769123	1.2807724503146e-05	0.0975564375404632
ENSG00000134595	-1.98145519249124	-3.19236849782014	-4.09741435371625	2.39567863331334e-05	0.136859131124608
ENSG00000133020	-2.00620305679518	4.33089159898262	-3.87814911487222	5.88340948322643e-05	0.268883580202415
ENSG00000147889	-1.72822654055323	-2.31993849861805	-3.70916852678214	0.00011426560658147	0.40188939284035
ENSG00000188452	-1.62829165379711	-1.15239030508978	-3.67605429553654	0.000129759171452031	0.40188939284035
ENSG00000226005	-1.76878203554542	-4.46359371560448	-3.6548431663802	0.000140699100377349	0.40188939284035
ENSG00000225511	-1.71763179072521	-2.9470989066366	-3.60472453200155	0.000170087561469573	0.427106088607624
ENSG00000230316	-1.85822584748631	-3.52407851837048	-3.57958755360589	0.000186909145598715	0.427106088607624
ENSG00000082293	-1.90817832849417	-0.308192144030677	-3.41874889867254	0.000337284734094736	0.68967787727152
ENSG00000177551	-1.79261417585046	-2.60866126898466	-3.39891785949041	0.000362178220964432	0.68967787727152
ENSG00000147256	-1.71531946008927	2.13984005024286	-3.26722155650398	0.000576082589588835	1
ENSG00000203585	-1.85325782516394	-3.13992956330159	-3.20945982778748	0.000702745122161639	1
ENSG00000262855	-1.52533154033389	0.908512365765372	-3.0100956645745	0.00136427464565503	1
ENSG00000225210	-1.50216743672224	-2.59422695665215	-2.97705836296299	0.00151766386629852	1
ENSG00000237560	-1.78540735034544	-2.22750136975614	-2.87700354015916	0.00208338855177781	1
ENSG00000187013	-1.48562122377163	-2.33986624066088	-2.74824689494302	0.00309173320524614	1
ENSG00000129204	-1.49220439153325	6.00229591490798	-2.7359561614272	0.00320800529336337	1
ENSG00000145949	1.75058870049365	4.11323593652143	2.62531821040238	0.0044459387295212	1
ENSG00000260943	-1.50881245366017	-5.03842046793704	-2.60672469431334	0.00469162624681877	1
ENSG00000159212	1.40202329001629	1.19194155118617	2.54360057032897	0.00561882885190096	1
ENSG00000144771	-1.48428790565246	-4.33407191934889	-2.41030675230782	0.00812918735645944	1
ENSG00000003137	-1.35067201410914	3.06578022202694	-2.3354318417126	0.00993543123458414	1
ENSG00000183631	-1.5596706025048	-3.43136615072656	-2.28795717042516	0.0112547584873533	1
ENSG00000148965	-1.69075704675728	-1.25616223125508	-2.25967815134243	0.0121111502975473	1
ENSG00000132185	-1.5202092059935	-3.45553754812675	-2.23233574529693	0.0129924781437812	1
ENSG00000116329	1.52644833702891	-4.46854754794472	2.20858859016928	0.0138025052657324	1
ENSG00000188729	-1.56376221059875	-1.52453053532306	-2.18320288149089	0.0147163664441692	1
ENSG00000206195	-1.37032257497996	-2.02018477119989	-2.14321243867167	0.0162617834058378	1
ENSG00000251191	-1.52083636800796	-4.27755355240821	-2.13898889287495	0.0164328609707734	1
ENSG00000234754	-1.42360601262436	-4.07000691473825	-2.10926793847367	0.0176809750172611	1
ENSG00000226852	1.52370609644666	-4.11485223502108	2.08327677224529	0.0188380892392877	1
ENSG00000264151	-1.68270191441214	-1.07168443186835	-2.072031836014	0.0193583831607707	1
ENSG00000250337	-1.35179669161496	-4.21358326098608	-1.96984828250768	0.0246725339995731	1
ENSG00000107105	-1.39567385898639	-2.79109190803781	-1.9504687719449	0.025807825968556	1
ENSG00000111249	-1.35820593855743	-1.34590316889864	-1.92309563950431	0.0274858218409212	1
ENSG00000248514	-1.47436102597504	0.307747498192027	-1.91712144089135	0.0278639231615794	1
ENSG00000268240	1.79221576579634	-1.91239432394188	1.78264820086409	0.0375909280413071	1
ENSG00000062524	-1.41442087996618	0.259994496913405	-1.74809037337355	0.040496493115642	1
ENSG00000244306	-1.2865172697653	-2.70439911642396	-1.69916215730383	0.0449202844371011	1
ENSG00000146005	-1.2627636819017	-0.657751563376834	-1.65339130741039	0.0494041036172831	1
ENSG00000235884	-1.42213637833318	-3.56190840294783	-1.64646890383684	0.0501124069795211	1
ENSG00000220773	-1.42335968643756	-2.15373975477136	-1.53968902076173	0.0620987532881622	1
ENSG00000174611	-1.48758766027809	-0.146180314558914	-1.49073027124625	0.0682959330917587	1
ENSG00000244694	-1.23437320951779	-2.19195888784658	-1.45425290347174	0.0732164769801695	1
ENSG00000234546	-1.27070797317365	-3.59647487364448	-1.42406296730002	0.0774908759739916	1
ENSG00000108602	-1.31056809304238	-1.18697244391559	-1.3856716651555	0.0831976763690503	1
ENSG00000180638	-1.3376909970926	-0.625126325481106	-1.3815713970372	0.083825430346864	1
ENSG00000048540	-1.19330431855002	0.972245074646555	-1.36352109772856	0.0866314100340002	1
ENSG00000153822	-1.2398869469384	-1.39253613046442	-1.34789212265091	0.0891173478553761	1
ENSG00000159399	1.27947996123803	6.49154132876796	1.34082758357188	0.0902583426695455	1
ENSG00000204099	1.37582283568535	1.05076195074528	1.32543242505319	0.0927824429663799	1
ENSG00000223553	-1.25722797995398	-4.4992903824731	-1.3173536584178	0.0941277498886604	1
ENSG00000134339	-1.4365803361049	2.72983163687347	-1.27456054738777	0.101495081182986	1
ENSG00000047662	-1.24148549011648	1.56225556676053	-1.26787597088513	0.102682935301391	1
ENSG00000259278	-1.27994390454599	-3.53194852086003	-1.24910557952781	0.106072545921398	1
ENSG00000137766	-1.26445253865379	2.7199380496748	-1.24106942148174	0.107548256430451	1
ENSG00000173432	-1.38173528951724	4.46571549101253	-1.17956804229358	0.119334908987357	1
ENSG00000004846	-1.25351361301899	-4.06991997201371	-1.15354321629731	0.124588265742467	1
ENSG00000166863	-1.21688564458186	-3.45909796816029	-1.14957008102492	0.125404328407846	1
ENSG00000227060	-1.23941347023204	-2.57663828168902	-1.11411012919805	0.132853458327354	1
ENSG00000206120	-1.19725445059947	-5.04686780843247	-1.11402606424038	0.132871473531985	1
ENSG00000134363	-1.1503049083169	2.88014031609634	-1.06929431739686	0.142697449250058	1
ENSG00000203697	-1.22284329248063	-0.223680207334355	-1.0595301118384	0.14490618282679	1
ENSG00000145423	-1.20218199263789	1.59766946049698	-1.05686568570032	0.145512882190921	1
ENSG00000136457	-1.17866460305039	2.63123484142309	-1.04513808291564	0.148203639479653	1
ENSG00000260337	-1.18871421914213	-2.4679378932579	-1.03864449640486	0.149707783650146	1
ENSG00000185269	-1.15918580137927	2.1715164263739	-0.994719485578461	0.160149830783552	1
ENSG00000196966	1.16500256986241	-1.74410684662891	0.984309081211573	0.162692999919426	1
ENSG00000133134	-1.15212683582844	1.30411104213626	-0.980590770748788	0.163607699486888	1
ENSG00000165935	-1.18721251256306	-4.32950440036061	-0.924003183722553	0.177940077158734	1
ENSG00000272872	-1.15936206141033	-4.30840301033154	-0.901537474587263	0.183843891101431	1
ENSG00000224609	-1.23514729447327	0.674984806494721	-0.888109800746724	0.187430308087797	1
ENSG00000248461	-1.21819479886129	-4.28055470502184	-0.832508808745756	0.202737246402599	1
ENSG00000070031	-1.16843263302954	-0.509194294816373	-0.817466739964939	0.207003623743761	1
ENSG00000234880	-1.13971464823208	-0.98317855437507	-0.792635274446418	0.214161965505156	1
