""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000008196	-2.27835724078128	0.0142020619345442	-5.96764232698525	2.59277368969581e-09	6.71761735263288e-05
ENSG00000165105	-2.25088194363975	1.70589459473649	-4.97033673258913	4.90679485830575e-07	0.00635650739919219
ENSG00000182050	-1.96475163068712	-1.4591515975119	-4.60323140631765	2.77288815902621e-06	0.0239475864374034
ENSG00000077327	-1.7466674945356	-2.97114970858614	-4.10214218136908	2.4664384895341e-05	0.159757387063347
ENSG00000147889	-1.45703296578026	0.337205320980671	-3.54843232873729	0.000216030072649837	1
ENSG00000056291	-1.72905084686653	-4.10755786796568	-3.22075532707274	0.000689863879972531	1
ENSG00000164749	-1.46830040947998	-1.0991662803127	-3.10954291983106	0.00100181709235507	1
ENSG00000128713	-1.60452149348392	-2.99451759552696	-3.06552599979757	0.00115780862179862	1
ENSG00000135960	-1.67407227664479	-2.03635889371249	-2.57929876594966	0.00512258034758199	1
ENSG00000237125	-1.37795374255231	1.15171736914083	-2.4836728465242	0.00669972626431034	1
ENSG00000183780	-1.47976088092817	-0.876842042187966	-2.43334590728754	0.00769178497270466	1
ENSG00000241231	-1.5343306174919	-1.45396007218994	-2.26491133768557	0.01201790871019	1
ENSG00000244681	-1.41609050357944	-4.17429835653036	-2.22749950831886	0.0132261596864502	1
ENSG00000188257	1.49778054485831	7.52339590137392	2.12032584275776	0.0172872295543819	1
ENSG00000225206	-1.46269859696227	-4.62169981105457	-1.98191561192222	0.0240757518032832	1
ENSG00000164796	-1.41821449702839	-1.79045643772614	-1.95680086903482	0.0255222955409956	1
ENSG00000139352	-1.38388336874368	-2.23559176141744	-1.93756575051951	0.026678978636498	1
ENSG00000040731	-1.3881412334502	-3.55730441079276	-1.92894624271736	0.0272113868714561	1
ENSG00000138675	-1.43751350800774	-0.453710740580382	-1.87483702519387	0.0307604967601018	1
ENSG00000253706	1.36366759100379	-4.14419506685327	1.80778974676328	0.035683479922355	1
ENSG00000164089	1.37414784711242	1.44173655083893	1.75443128752996	0.0400492875826682	1
ENSG00000259946	-1.40780131117681	-4.9027118854	-1.71129516409811	0.0438889104913273	1
ENSG00000180347	-1.32317212250851	-3.76274716533807	-1.69878052455324	0.0450570075003006	1
ENSG00000220773	-1.34463861366832	-3.32426319859909	-1.69546647808407	0.045370505225536	1
ENSG00000164107	-1.22949272308227	0.869672182042984	-1.64083086459893	0.0507971016412622	1
ENSG00000149968	1.75780306959512	4.07388669889868	1.56761135687445	0.0588690427865041	1
ENSG00000171759	-1.2786995927821	-2.82907509105982	-1.53483449047169	0.0627952723972013	1
ENSG00000236028	1.35400393489067	-2.17714493335519	1.53019942988303	0.0633666491361896	1
ENSG00000162631	-1.20437592985031	3.03095106151917	-1.52981618491075	0.063414074024292	1
ENSG00000128710	-1.19320669350341	1.34241321763964	-1.52343362931239	0.0642079699471383	1
ENSG00000072041	-1.2216867514046	-0.851174866658014	-1.49422067843609	0.0679409657121603	1
ENSG00000163710	1.28421335134429	3.97442965329575	1.47182456511658	0.0709150986764989	1
ENSG00000261292	-1.27642636128254	-3.45580713115056	-1.44946490127045	0.0739835293423683	1
ENSG00000133105	1.47664317711887	-4.00113457639961	1.43521226444612	0.0759919233850327	1
ENSG00000103460	-1.26687659970722	-2.31950888904868	-1.39505332055706	0.081874938059998	1
ENSG00000181092	1.45578901994444	3.58145778293707	1.26598070194018	0.103116987813291	1
ENSG00000197254	1.31153187740527	-2.51875868840729	1.22624510778913	0.110402738782394	1
ENSG00000121742	-1.25228905748501	-2.54488179264621	-1.21525433522507	0.112481847725377	1
ENSG00000168481	1.23237017576262	2.50012894061308	1.19354077636591	0.116671561374925	1
ENSG00000104725	-1.216280238736	0.488783778537304	-1.18587318966358	0.118177259259106	1
ENSG00000204876	-1.22502879582318	-3.57304159417633	-1.17265506531363	0.120805205771629	1
ENSG00000226053	-1.22924193910948	-5.66346699460678	-1.11952741718664	0.131783086871077	1
ENSG00000165973	-1.30033121197437	-3.78005593695546	-1.076544643623	0.141156247452904	1
ENSG00000172020	-1.18286952618333	4.20679115306757	-1.00890644246578	0.156805255518093	1
ENSG00000147724	-1.16282829183359	0.860232942041296	-1.0029878503085	0.158227142152215	1
ENSG00000166573	-1.19454847089103	-3.3052906622344	-0.991198385121523	0.161084678223759	1
ENSG00000058335	-1.1982651643763	1.45559771712348	-0.981899630588981	0.163362209461799	1
ENSG00000258580	-1.22335741239448	-2.98673949341365	-0.964060357356928	0.167790037338068	1
ENSG00000157890	1.18817418173228	1.16256977071906	0.945923766074769	0.172370412223834	1
ENSG00000112232	-1.16312829973162	-3.69832176368294	-0.908270362766525	0.182132667651967	1
ENSG00000166426	-1.28946738494571	1.16829706792488	-0.885611494651572	0.188171251428681	1
ENSG00000162490	-1.16540103356953	1.15030474342322	-0.867947900969104	0.192963570444997	1
ENSG00000157087	-1.11488991498871	2.58928952846647	-0.822402273829479	0.205661384148357	1
ENSG00000183715	-1.11621691629286	2.27351287567187	-0.796909060313458	0.212980974294523	1
