""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000226445	-1.90126808571567	-2.12080359321118	-4.73568818475499	1.80387161354344e-06	0.0290624759317033
ENSG00000163273	-3.17126969968882	-3.17203854245108	-4.66147342391712	2.52059635140531e-06	0.0290624759317033
ENSG00000120332	-2.37102456479614	-1.11032176110804	-4.33635429873254	1.03997719864017e-05	0.0799395806688076
ENSG00000180772	-2.93913227758481	-4.36821602933826	-4.22241252009046	1.67696763352415e-05	0.0966771840726675
ENSG00000237070	-2.73099928098327	-4.16869648081068	-3.77792539740393	9.82263764967656e-05	0.453020048403083
ENSG00000135245	-2.10219917980911	3.21300032079489	-3.69744169415878	0.000133050157268298	0.51135610443449
ENSG00000223731	-2.58498561645845	-4.37050837634345	-3.62377123401183	0.000174855257656652	0.576023177366055
ENSG00000223611	-2.30715403120196	-5.18262527173739	-3.55691949136916	0.000223215149585412	0.617924081128865
ENSG00000101203	-2.48322402916131	-3.52717238196332	-3.51404093002573	0.000260566541450627	0.617924081128865
ENSG00000260802	-3.24729312090421	-1.28956299978634	-3.45429999022778	0.000322451410587894	0.617924081128865
ENSG00000203814	-2.16285592980683	-0.43524126406199	-3.43994045327428	0.000339251398750465	0.617924081128865
ENSG00000224431	-1.74241139642366	-0.757826958518078	-3.43777246944643	0.000341857860995663	0.617924081128865
ENSG00000229246	-2.41105907999793	-3.83065202092681	-3.43243675580329	0.000348352691009334	0.617924081128865
ENSG00000185162	-2.64482594600678	-3.34139450324618	-3.36588830048145	0.000439662538174103	0.6857899304909
ENSG00000115665	-2.32054731320938	-0.474848452976665	-3.36170463477519	0.000446090587916891	0.6857899304909
ENSG00000260105	-2.10385050634394	0.117106859850525	-3.25400722359465	0.000645000038540465	0.929606305546445
ENSG00000139330	-2.63043147497375	-4.78036780990513	-3.18465279200792	0.00081377399878492	1
ENSG00000224821	-2.15233051005214	-4.40457516386921	-3.08463163081847	0.00112995804428664	1
ENSG00000261054	-2.32669409578392	-1.69882765167472	-3.05961188516953	0.00122507652551479	1
ENSG00000124575	-2.25769705118395	-3.72193931177828	-3.03979684904166	0.00130557894545059	1
ENSG00000250116	-1.69191279693389	-1.38231248903915	-3.02162583447379	0.00138364942281176	1
ENSG00000234638	-2.34117302227076	-1.23379440078064	-3.01607857429	0.00140832386164462	1
ENSG00000235563	-2.20088658721362	-2.75646630658023	-3.01001587097744	0.00143575277315712	1
ENSG00000236047	-2.26344983666314	-4.04325548645866	-2.99369103814723	0.00151206637335529	1
ENSG00000232043	-1.70514144055922	-0.477880249489529	-2.86054032489763	0.00228789950055906	1
ENSG00000261292	-2.62078786336032	-3.27095300528275	-2.84336554675702	0.00241086173986549	1
ENSG00000267361	-2.15556431398138	-2.19756646323004	-2.80943710995123	0.00267160526916272	1
ENSG00000236031	-1.87303384016356	-3.92433380625849	-2.74472843618806	0.00324101074432221	1
ENSG00000232079	-2.46908322882105	-3.0000835141369	-2.68231417052786	0.00389204205700834	1
ENSG00000187990	-2.1955079303442	-1.45678019881239	-2.66972927708712	0.00403678680465699	1
ENSG00000180139	-2.17481757168785	2.9339195255406	-2.65809768323978	0.00417485914897956	1
ENSG00000004846	-2.47513649156913	-2.82323442468981	-2.63718846533125	0.00443378500300216	1
