""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000244694	-1.71494733644034	-1.68975492414441	-4.1518950758718	2.24630984290909e-05	0.765767025447708
ENSG00000234956	-1.64936725016445	-1.0567598216022	-2.47837886828751	0.0069212493964008	1
ENSG00000244734	-2.05423480560263	2.88045020817006	-2.34106967064454	0.00999772685219669	1
ENSG00000156234	-1.70293772648123	-1.27276895026658	-2.04365634629926	0.021004895137153	1
ENSG00000188536	-1.56598864237235	1.4428504361278	-1.70069283537911	0.0451067221016717	1
ENSG00000259379	1.39823771688078	-4.8713708052102	1.35674804692239	0.0880274411572027	1
ENSG00000232821	1.34534968081106	-5.16764900563847	1.25962763312535	0.104474697121869	1
ENSG00000253864	-1.23824025630023	0.92616866876765	-1.1965084487509	0.116301844245107	1
ENSG00000234253	1.35570002180172	-5.35862230708011	1.17230020471662	0.121082444448676	1
ENSG00000224012	1.35162653530884	-4.6562934899432	1.17010698127648	0.121522330208016	1
ENSG00000260982	1.60491251915829	-1.21474355993672	1.14262769058755	0.127130425692147	1
ENSG00000127074	-1.20008900614833	-2.59379697165955	-1.01922595805913	0.15452834208882	1
ENSG00000259107	1.28610405962468	-0.125157786854451	1.00017094577007	0.159085493100167	1
ENSG00000259284	-1.19675789025476	-0.945376331729056	-0.959592002239591	0.169082412108825	1
ENSG00000213049	1.32560519950959	-4.25432817324829	0.94234487706383	0.173451677824522	1
ENSG00000260995	1.31111407036863	-0.0717065423155374	0.902829149247832	0.183732084694755	1
ENSG00000237070	-1.19395197319951	-3.4758389613372	-0.833889412380803	0.202559843947372	1
ENSG00000130513	-1.14774080045272	-0.383760629550933	-0.779404675344231	0.218230174834047	1
ENSG00000080511	1.21459269558038	0.388595772523162	0.581009826115699	0.280872162068524	1
ENSG00000225226	1.11724712423155	-3.46791411428984	0.502867739840168	0.307744519243155	1
ENSG00000228482	1.14196106755122	-2.21946749487411	0.455715055207323	0.324490348430139	1
ENSG00000253634	1.10207375873894	-0.151571425046872	0.367370273162032	0.356822980236523	1
ENSG00000206172	-1.07716614565148	-1.34483573128061	-0.287883330678102	0.386834332493091	1
ENSG00000273129	-1.0619288746172	-4.24770384060481	-0.276083450276757	0.391353211713678	1
ENSG00000223609	-1.10498704633897	-4.02328223548652	-0.227561479655541	0.410088203147957	1
ENSG00000226454	1.17604067343676	0.139122624286367	0.232638525430192	0.410299296279635	1
ENSG00000249646	-1.05329735957115	-5.3632267173697	-0.194777279133804	0.422860797561651	1
ENSG00000223534	-1.04684847310499	-3.15013774699805	-0.193821191403633	0.423234697226765	1
ENSG00000196666	-1.03047680972106	-2.43355713089427	-0.170407768706634	0.432411942216349	1
ENSG00000236268	-1.03975428732141	-5.40932965348675	-0.170109442948686	0.432529123539244	1
ENSG00000223492	1.03705383673868	-2.99434949829615	0.153598068170287	0.439023754730301	1
ENSG00000172724	-1.03635360841156	-3.01860901673355	-0.134023238522874	0.446744681163943	1
ENSG00000120235	-1.03944136205936	-5.50026523963833	-0.128171766866285	0.449056770304506	1
ENSG00000105492	-1.0271741458592	-3.788973470356	-0.102653426531535	0.459159148771566	1
ENSG00000204687	-1.02284415660713	-4.75685559217347	-0.0747745870986805	0.47022619102514	1
ENSG00000226681	1.02486973026503	-4.98069376327953	0.0713056336377697	0.471605065552369	1
ENSG00000223485	-1.01128115645056	-4.0317851824606	-0.0492273321811897	0.480388232059805	1
ENSG00000005102	-1.00739791536179	0.0746314029886765	-0.0359358770777182	0.485680728419044	1
ENSG00000256391	-0.995975250377292	-4.70395991648122	0	0.50639907595914	1
ENSG00000197614	-0.988726318744053	1.15972455680918	0	0.529319942953445	1
ENSG00000178394	0.975286349412109	-5.16169953007766	0	0.529476804540267	1
ENSG00000259384	-0.960463043705383	-1.38479687445987	0	0.538925996088921	1
ENSG00000230804	0.94462200433814	-4.25214395590617	0	0.544167152886249	1
ENSG00000118245	0.947271463781231	9.04972322894176	0	0.545485748127891	1
ENSG00000223414	-0.971694765973761	-1.72737838476063	0	0.545542101395674	1
ENSG00000175646	0.941282437075038	10.3442774585228	0	0.550707073274999	1
ENSG00000259859	0.967538454170126	-3.77697587121346	0	0.553856564116682	1
ENSG00000073756	-0.971476817168778	-0.99749830421739	0	0.562478522725466	1
