tissue_type	model_file	model_accuracy
Adipose Tissue	Adipose Tissue_keras_model.h5	57.340025901794434
Blood Vessel	Blood Vessel_keras_model.h5	21.139101684093475
Brain	Brain_keras_model.h5	59.51661467552185
Breast	Breast_keras_model.h5	57.93103575706482
Colon	Colon_keras_model.h5	71.40039205551147
Esophagus	Esophagus_keras_model.h5	71.79235816001892
Heart	Heart_keras_model.h5	25.166666507720947
Lung	Lung_keras_model.h5	24.121779203414917
Muscle	Muscle_keras_model.h5	53.19148898124695
Nerve	Nerve_keras_model.h5	54.10627722740173
Pancreas	Pancreas_keras_model.h5	86.29032373428345
Skin	Skin_keras_model.h5	10.648918151855469
Stomach	Stomach_keras_model.h5	86.20689511299133
Testis	Testis_keras_model.h5	57.14285969734192
Thyroid	Thyroid_keras_model.h5	56.72645568847656
