tissue	model_file	accuracy
Adipose Tissue	Adipose Tissue_keras_model.h5	34.253451228141785
Blood Vessel	Blood Vessel_keras_model.h5	29.901424050331116
Brain	Brain_keras_model.h5	2.4169184267520905
Breast	Breast_keras_model.h5	30.344828963279724
Skin	Skin_keras_model.h5	33.1114798784256
Colon	Colon_keras_model.h5	8.875739574432373
Esophagus	Esophagus_keras_model.h5	25.269344449043274
Heart	Heart_keras_model.h5	34.166666865348816
Lung	Lung_keras_model.h5	32.55269229412079
Muscle	Muscle_keras_model.h5	33.156028389930725
Nerve	Nerve_keras_model.h5	31.40096664428711
Pancreas	Pancreas_keras_model.h5	8.064515888690948
Stomach	Stomach_keras_model.h5	35.63218414783478
Testis	Testis_keras_model.h5	28.95752787590027
Thyroid	Thyroid_keras_model.h5	2.6905829086899757
