""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000105664	-2.47430595391307	2.86797764284953	-3.44601260522801	0.000304395072247285	1
ENSG00000244694	-1.40825702144439	-0.876927076013693	-2.5083036305874	0.00619734094325332	1
ENSG00000261292	-1.53227271866068	-3.22195368702017	-2.41538159878263	0.00800868180420858	1
ENSG00000170162	-1.76498605275156	-0.742763366854248	-2.25147029876156	0.0123588554177842	1
ENSG00000130513	-1.47764364118317	0.16034740641094	-2.21685178527535	0.0135041819006942	1
ENSG00000250337	-1.45002935420727	-2.74936661708213	-2.05533509440059	0.0201400487805486	1
ENSG00000135914	-1.50085207471308	-0.0114294945321917	-1.95270835121287	0.0256599917345946	1
ENSG00000102109	-1.56247729657237	0.633245167258239	-1.86530425107255	0.031313972879188	1
ENSG00000101892	-1.59659181702902	-1.90663332552222	-1.84837410060794	0.0325207072291014	1
ENSG00000179914	-1.84362703788579	1.58513454595787	-1.79344930990871	0.0367029686567955	1
ENSG00000080224	-1.35801778251765	-2.32364754566498	-1.72922274022434	0.0421424816645822	1
ENSG00000124343	-1.38844478160379	-0.0272657507749022	-1.69985019049358	0.0448393853404366	1
ENSG00000244306	-1.30478589167132	-2.61343413914655	-1.6753339998446	0.0471955706328208	1
ENSG00000105251	-1.94381329202002	0.319094913689213	-1.64265249470109	0.0504902985089624	1
ENSG00000169181	-1.66689770315422	1.93475897603129	-1.58389528284839	0.0568729365909316	1
ENSG00000250241	-1.35686101614115	-4.58675991083568	-1.50750960045005	0.0661039093109237	1
ENSG00000143839	-1.54611369266983	-3.9079469800059	-1.48562775254926	0.0689521159262598	1
ENSG00000225210	-1.28096992824917	-2.13093201067425	-1.48185683581271	0.0694523899259745	1
ENSG00000181291	-1.47441361167836	-2.19929780346069	-1.46285212315951	0.0720164319728525	1
ENSG00000108556	-1.62359125932947	2.62131987534049	-1.4519469651035	0.0735202207553407	1
ENSG00000152822	1.45826875920619	-0.478885743254722	1.33586632194336	0.0910503972118525	1
ENSG00000138650	-1.41218901320735	-0.096286998055155	-1.32255830108007	0.0932437714049729	1
ENSG00000225511	-1.2280643485768	-2.26615461020115	-1.27130690173332	0.102056708661939	1
ENSG00000047457	-1.37177613388071	3.38367901503461	-1.22981086431187	0.109625614632095	1
ENSG00000106483	-1.33337706854965	2.9689583010214	-1.22625480157441	0.11029256185973	1
ENSG00000168333	-1.3490830048653	-3.0454114629899	-1.22351941844943	0.110807570264311	1
ENSG00000263443	1.42678361604596	-3.63572589670507	1.17566799321165	0.120097556415807	1
ENSG00000234546	-1.18877082429516	-2.5872744506354	-1.15440725306314	0.124397027477165	1
ENSG00000138311	-1.29206414771004	-0.0362031442881775	-1.11689559694461	0.132243608916764	1
ENSG00000133636	-1.34109497682849	-3.30859962765781	-1.10592356902022	0.134602010020962	1
ENSG00000206195	-1.18173325557202	-1.33815734227896	-1.10413444638681	0.134989303450262	1
ENSG00000109265	-1.31505974610846	-1.04631680059914	-1.09303110242254	0.13740998546907	1
ENSG00000184905	-1.34422592405059	1.62367093855949	-1.09155429549572	0.137734174762728	1
ENSG00000163217	-1.95603643449622	1.33436291531753	-1.06228080212993	0.144808936162604	1
ENSG00000253369	1.40843706229708	-1.72037876318118	1.03231891542436	0.151169890294002	1
ENSG00000250981	1.3012747144742	-1.62035645718695	0.998202077676428	0.159292424139177	1
ENSG00000146530	-1.51136695923467	-0.991957566111912	-0.990467341076057	0.161173770681083	1
ENSG00000205710	-1.3067697566772	1.52380721828024	-0.978094676342067	0.164211375592111	1
ENSG00000261039	-1.27556107672044	-3.06750020211706	-0.931377674982942	0.17601691906207	1
ENSG00000102854	-1.36625637154013	-1.66336841353494	-0.918888561673812	0.179262052036754	1
ENSG00000164089	1.19306596546714	2.31056444437788	0.918141759043784	0.179457284228617	1
ENSG00000177791	-1.25773926461693	2.80366852894409	-0.875588508304664	0.190802546896162	1
ENSG00000120937	-1.43470227228888	6.91210168211613	-0.846028532833878	0.198938849884136	1
ENSG00000163687	-1.20426757665559	1.7271062352435	-0.844228605531094	0.199439523761052	1
ENSG00000131080	-1.10486376187228	1.69026708312975	-0.830223930919187	0.203371642051564	1
ENSG00000113430	1.44457576320574	0.116746645412063	0.820641411209595	0.206092527885072	1
ENSG00000221844	1.25821064660414	0.0188633120134011	0.815486317476232	0.207559228010234	1
ENSG00000175206	-1.49365145525731	9.49447204492566	-0.814267334121477	0.207930105821603	1
ENSG00000118972	-1.34159622354257	-1.18859575108158	-0.812461285367113	0.208425064567273	1
ENSG00000175535	-1.38302046599751	-1.24096925880429	-0.811929266437187	0.208577830303	1
ENSG00000173227	-1.17825329009198	-0.795967625724096	-0.778005568824237	0.218436613641125	1
ENSG00000265356	1.29475225817881	-2.43594993202097	0.777627716616027	0.218547922205872	1
ENSG00000185847	1.40343884608689	-1.3872658300638	0.760949417682499	0.223497022514474	1
ENSG00000148942	-1.42245262349183	-0.397043703785187	-0.759719659518636	0.223868459803324	1
ENSG00000138472	1.37187211742074	-2.65114490334185	0.754797538522952	0.225334647804411	1
ENSG00000136011	-1.16749775691377	-1.13807032857119	-0.716300270705038	0.23704270174954	1
ENSG00000221986	-1.41761582392413	2.27061765116956	-0.708647030512127	0.239433029659456	1
ENSG00000075886	1.24012502349465	3.47114619720903	0.653704982628499	0.256776504718597	1
ENSG00000232310	-1.24518508611592	0.848316331613628	-0.624734449730391	0.266191753048381	1
ENSG00000251301	-1.23643040015265	-1.96668317611669	-0.623557202498175	0.266578017795707	1
ENSG00000211892	-1.17327143155823	-1.79571058913067	-0.602323831072642	0.273593382418572	1
ENSG00000111218	-1.22152451562151	-2.31138428976226	-0.600302113481931	0.274266091173888	1
ENSG00000181195	-1.15420125902778	0.401858126346337	-0.58677466697589	0.278788174303884	1
ENSG00000152086	1.19028898117564	3.17004742083889	0.583215316074757	0.279984045587111	1
ENSG00000184408	-1.12469097396116	-2.77792211758357	-0.583023683742443	0.280048500890534	1
ENSG00000269783	-1.19186185763121	-0.979797650149906	-0.582144362312774	0.280344352143267	1
ENSG00000167580	-1.23474852401379	-2.61763772004171	-0.565872702008152	0.285846276058843	1
ENSG00000249116	1.26747890681403	-1.70777491274773	0.540720956953668	0.294453350807885	1
ENSG00000196353	1.12971231561583	2.67551009558716	0.534093761188603	0.296737509655212	1
ENSG00000143125	-1.15010489043618	-1.59012940163155	-0.53390269527907	0.296803564199275	1
ENSG00000155265	-1.13906548285456	2.10308319402254	-0.498507756257284	0.309154692153731	1
ENSG00000119681	-1.07164510637168	7.11084321377599	-0.475424393837093	0.31732900183556	1
